Started Log File:     logs/MMTK 2021-06-01 14-01-44-COM5.txt
Data Source:     COM5

1BLBLBáNEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
1	604.84	12.44	-10.64	250	0	0	0	0	12.25	1	1	1	1	1	
1	587.77	13.23	-10.63	266	0	0	0	0	12.27	1	1	1	1	1	
1	553.10	14.36	-10.62	288	0	0	0	0	12.27	1	1	1	1	1	
1	525.21	15.07	-10.60	302	0	0	0	0	12.27	1	1	1	1	1	
1	478.32	16.06	-10.60	322	0	0	0	0	12.27	1	1	1	1	1	
1	441.18	16.67	-10.61	334	0	0	0	0	12.25	1	1	1	1	1	
1	382.65	17.48	-10.61	350	0	0	0	0	12.25	1	1	1	1	1	
1	337.23	17.96	-10.60	360	0	0	0	0	12.27	1	1	1	1	1	
1	289.35	18.37	-10.61	368	0	0	0	0	12.27	1	1	1	1	1	
1	218.02	18.87	-10.61	378	0	0	0	0	12.27	1	1	1	1	1	
1	164.04	19.12	-10.61	384	0	0	0	0	12.29	1	1	1	1	1	
1	89.03	19.37	-10.60	388	0	0	0	0	12.29	1	1	1	1	1	
1	35.00	19.45	-10.58	390	0	0	0	0	12.29	1	1	1	1	1	
1	400.64	19.65	-10.60	394	0	0	0	0	12.42	1	1	1	1	1	
1	400.64	20.00	-10.63	402	0	0	0	0	12.25	1	1	1	1	1	
